Latitude,Longitude
55.8941533,-3.1346186
55.8955625,-3.1376245
55.8960314,-3.1384837
55.896527,-3.1394032
55.8971433,-3.1408252
55.8977663,-3.1415887
55.8980862,-3.1419305
55.898297,-3.1421182
55.898675,-3.1423386
55.8995519,-3.1432368
55.8999073,-3.1438268
55.8999657,-3.143919
55.9002785,-3.1444085
55.9005538,-3.1448394
55.9013287,-3.1460448
55.9018535,-3.1468502
55.9025921,-3.1475052
55.903866,-3.1485495
55.9041123,-3.1489526
55.9049922,-3.150393
55.9052675,-3.1507947
55.9058495,-3.1517089
55.9059625,-3.1518879
55.9062836,-3.1523971
55.9065459,-3.1528043
55.9065969,-3.1528825
55.9066644,-3.1529869
55.9067308,-3.1530895
55.9068059,-3.1532015
55.9072869,-3.1539343
55.9074752,-3.1542388
55.9078604,-3.1547743
55.9079483,-3.1548976
55.9085139,-3.1555494
55.9087978,-3.1558284
55.9091675,-3.1561893
55.9092529,-3.1562666
55.909684,-3.1566566
55.90972,-3.1566937
55.9098836,-3.1568625
55.9105547,-3.1574856
55.9115118,-3.1583614
55.9116983,-3.158491
55.9123427,-3.1588655
55.9126039,-3.1590706
55.913325,-3.159851
55.914076,-3.1607945
55.9142964,-3.1610724
55.9148325,-3.1617861
55.9153408,-3.1624638
55.9158647,-3.1629835
55.9163418,-3.1634165
55.9167332,-3.1637594
55.9173179,-3.1642551
55.9175645,-3.1644843
55.9178051,-3.1646918
55.9184628,-3.1653126
55.918672,-3.1655545
55.9188827,-3.165868
55.9197727,-3.1674872
55.9199979,-3.1675295
55.9220852,-3.1697024
55.9221916,-3.1698376
55.9224776,-3.1701511
55.9228916,-3.1706238
55.9233169,-3.1711159
55.9236001,-3.1714505
55.923956,-3.1718727
55.9242665,-3.1722418
55.9242969,-3.172275
55.924347,-3.1723268
55.9245732,-3.1724676
55.9250961,-3.1728531
55.9254619,-3.1731207
55.9259648,-3.1734967
55.9266641,-3.1739421
55.9268922,-3.1740547
55.9277239,-3.1744513
55.9280295,-3.1745994
55.9285315,-3.1748068
55.9289464,-3.1750666
55.9291386,-3.17521
55.9296863,-3.1756333
55.9297194,-3.1756574
55.9299046,-3.1758092
55.9303392,-3.176155
55.9307058,-3.1763982
55.931117,-3.1765879
55.9319849,-3.1771033
55.93205,-3.1771379
55.9331802,-3.1777246
55.9335607,-3.1779995
55.9337195,-3.1781357
55.9340458,-3.1784314
55.9341129,-3.1784961
55.9341655,-3.1785443
55.9343239,-3.178687
55.9345658,-3.1788982
55.9347224,-3.1790415
55.9348385,-3.1791473
55.9350733,-3.1793473
55.9352046,-3.1794628
55.9353495,-3.1795681
55.9353647,-3.1795789
55.9357181,-3.1798226
55.9358287,-3.1798936
55.935932,-3.1799621
55.9361562,-3.1801053
55.9364489,-3.1802768
55.9366268,-3.1803655
55.9369476,-3.1805219
55.9371048,-3.1806046
55.9372172,-3.1806638
55.9374573,-3.1807965
55.9377158,-3.1809829
55.9378628,-3.181088
55.9383877,-3.1814818
55.9384982,-3.1815577
55.9385514,-3.1815982
55.9388786,-3.1818312
55.9389717,-3.1818975
55.9390175,-3.1819336
55.9394221,-3.1822516
55.939754,-3.1825481
55.9398169,-3.1825986
55.939897,-3.1826495
55.9399892,-3.1826857
55.9401037,-3.182704
55.9402296,-3.1827181
55.9403559,-3.1827284
55.9404775,-3.1827389
55.9405822,-3.1827488
55.9411638,-3.1830792
55.9412249,-3.1831625
55.9417179,-3.1837663
55.9421091,-3.1840695
55.9423437,-3.1842186
55.9424126,-3.1842638
55.9424905,-3.1843092
55.9430765,-3.1846063
55.9431711,-3.1846556
55.943342,-3.1847511
55.9436787,-3.1849941
55.9438246,-3.1851904
55.9438721,-3.1852543
55.9440484,-3.185515
55.9440965,-3.1855805
55.9443175,-3.1858738
55.9446886,-3.1862761
55.9447015,-3.1862862
55.9456435,-3.1869614
55.9456153,-3.1871131
55.9455976,-3.1872216
55.9455101,-3.1878137
55.9454473,-3.1882327
55.9455652,-3.1882987
55.9457349,-3.1883936
55.9457733,-3.1884134
55.9456444,-3.1892811
55.945628,-3.1893919
55.9457183,-3.1892043
55.94577,-3.1893117
55.9458092,-3.1893911
55.945809,-3.1894853
55.945887,-3.1894951
55.9464583,-3.1906495
55.9467879,-3.1910881
55.9468608,-3.1911343
55.9470926,-3.1912832
55.9483403,-3.1920289
55.9486736,-3.1922286
55.9487848,-3.1922952
55.9488121,-3.1923116
55.9493112,-3.1926106
55.9493907,-3.1929229
55.9493633,-3.1931091
55.9496262,-3.1936335
55.9499151,-3.1938495
55.9499881,-3.1938514
55.9499919,-3.1941817
55.9499941,-3.194216
55.9500926,-3.1947777
55.9503278,-3.1959715
55.9512586,-3.1964876
55.9518418,-3.1968356
55.9519376,-3.196823
55.9520566,-3.1966876
55.9521276,-3.1966124
55.9527944,-3.1968701
55.9530263,-3.1970026
55.953321,-3.1972368
55.95341,-3.1972917
55.9534298,-3.1973744
55.9535434,-3.197448
55.9535842,-3.1974131
55.9537277,-3.197452
55.9539877,-3.1975168
55.9542452,-3.1976483
55.9548261,-3.1979599
55.9549491,-3.1980259
55.9559401,-3.1985575
55.9568671,-3.1990547
55.9578187,-3.1995652
55.9586058,-3.199992
55.9592908,-3.2003549
55.9605949,-3.2010496
55.9615693,-3.2015024
55.9619651,-3.200996
55.9622639,-3.2003597
55.9625461,-3.1999318
55.9625771,-3.1999904
55.9627691,-3.1998895
55.9631974,-3.2006197
55.963878,-3.201715
55.9642817,-3.2021715
55.9648243,-3.2027517
55.9650866,-3.2030301
55.9655782,-3.2035617
55.9664083,-3.2043893
55.9668061,-3.2047769
55.9669375,-3.2049049
55.9679106,-3.20585
55.968115,-3.2060478
55.9686457,-3.2065458
55.9691435,-3.2070231
55.9696465,-3.2075068
55.9702403,-3.208075
55.9712092,-3.2073035
55.9711766,-3.2077062
55.9715169,-3.2078142
55.971828,-3.2079646
55.9729005,-3.2085713
55.9730504,-3.2086598
55.9732863,-3.2087984
55.9738013,-3.2091007
55.9745972,-3.209501
55.9758583,-3.2098633
55.9777163,-3.2099676
55.9776965,-3.2114898
55.9780547,-3.2114153
55.9783759,-3.2113347
55.9791294,-3.211073
55.9791931,-3.212426
55.9796285,-3.2123857
55.9796434,-3.2123833
55.9801701,-3.2122853
55.9804861,-3.212222
